,confirmed
0,24873
1,29056
2,32986
3,37323
4,43938
5,50871
6,57695
7,62095
8,66885
9,71808
10,77872
11,84794
12,91159
13,96092
14,100123
15,103374
16,107663
17,113296
18,118181
19,122171
20,124908
21,127854
22,130072
23,131359
24,134753
25,137698
26,141397
27,143342
28,145184
29,147065
30,148291
31,150648
32,153129
33,154999
34,156513
35,157770
36,158758
37,159912
38,161539
39,163009
40,164077
41,164967
42,165664
43,166152
44,167007
45,168162
46,169430
47,170588
48,171324
49,171879
50,172576
51,173171
52,174098
53,174478
54,175233
55,175752
56,176369
57,176551
58,177778
59,178473
60,179021
61,179710
62,179986
63,180328
64,180600
65,181200
66,181524
67,182196
68,182922
69,183189
70,183410
71,183594
72,183879
73,184121
74,184472
75,184924
76,185450
77,185750
78,186109
79,186506
