,deaths
0,94
1,123
2,157
3,206
4,267
5,342
6,433
7,533
8,645
9,775
10,920
11,1107
12,1275
13,1444
14,1584
15,1810
16,2016
17,2349
18,2607
19,2767
20,2736
21,3022
22,3194
23,3294
24,3804
25,4052
26,4352
27,4459
28,4586
29,4862
30,5033
31,5279
32,5575
33,5760
34,5877
35,5976
36,6126
37,6314
38,6467
39,6623
40,6736
41,6812
42,6866
43,6993
44,6993
45,7275
46,7392
47,7510
48,7549
49,7569
50,7661
51,7738
52,7861
53,7884
54,7897
55,7938
56,7962
57,8003
58,8081
59,8144
60,8203
61,8228
62,8261
63,8283
64,8309
65,8372
66,8428
67,8470
68,8504
69,8530
70,8540
71,8555
72,8563
73,8602
74,8635
75,8658
76,8673
77,8685
78,8695
79,8736
