,time,Infected,Diagnosed,Cumulative_Diagnosed,Removed
0,0,100,0,0,0
1,1,100,0,0,0
2,2,100,0,0,0
3,3,100,0,0,0
4,4,100,0,0,0
5,5,100,0,0,0
6,6,100,0,0,0
7,7,100,0,0,0
8,8,100,0,0,0
9,9,100,0,0,0
10,10,100,0,0,0
11,11,100,0,0,0
12,12,100,0,0,0
13,13,100,0,0,0
14,14,100,0,0,0
15,15,100,0,0,0
16,16,100,0,0,0
17,17,100,0,0,0
18,18,100,0,0,0
19,19,100,0,0,0
20,20,100,0,0,0
21,21,100,0,0,0
22,22,100,0,0,0
23,23,100,0,0,0
24,24,100,0,0,0
25,25,100,0,0,0
26,26,103,0,0,0
27,27,121,0,0,0
28,28,135,0,0,0
29,29,147,0,0,0
30,30,159,0,0,0
31,31,165,0,0,0
32,32,170,0,0,0
33,33,177,0,0,0
34,34,187,0,0,0
35,35,201,0,0,0
36,36,212,0,0,0
37,37,227,0,0,0
38,38,234,0,0,0
39,39,245,0,0,0
40,40,261,0,0,0
41,41,268,0,0,0
42,42,282,0,0,0
43,43,295,0,0,0
44,44,307,0,0,0
45,45,312,0,0,0
46,46,314,0,0,0
47,47,326,0,0,0
48,48,330,0,0,0
49,49,331,0,0,0
50,50,336,0,0,0
51,51,352,0,0,0
52,52,357,0,0,0
53,53,361,0,0,0
54,54,368,0,0,0
55,55,371,0,0,0
56,56,372,0,0,0
57,57,390,0,0,0
58,58,423,0,0,0
59,59,460,0,0,0
60,60,499,0,0,0
61,61,552,0,0,0
62,62,603,0,0,0
63,63,663,0,0,0
64,64,718,0,0,0
65,65,770,0,0,0
66,66,826,0,0,0
67,67,884,0,0,0
68,68,926,0,0,0
69,69,953,0,0,0
70,70,975,0,0,0
71,71,993,0,0,0
72,72,1005,1,1,0
73,73,1022,1,1,0
74,74,1036,1,1,0
75,75,1041,1,1,0
76,76,1045,1,1,0
77,77,1055,1,1,0
78,78,1065,1,1,0
79,79,1077,1,1,0
80,80,1082,1,1,0
81,81,1109,1,1,0
82,82,1165,1,1,0
83,83,1237,1,1,0
84,84,1325,1,1,0
85,85,1424,1,1,0
86,86,1529,1,1,0
87,87,1658,1,1,0
88,88,1799,1,1,0
89,89,1928,1,1,0
90,90,2053,1,1,0
91,91,2165,1,1,0
92,92,2257,1,1,0
93,93,2351,1,1,0
94,94,2431,1,1,0
95,95,2499,1,1,0
96,96,2545,1,1,0
97,97,2595,1,1,0
98,98,2656,1,1,0
99,99,2690,1,1,0
100,100,2732,1,1,0
