,deaths
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,2
32,3
33,7
34,10
35,12
36,17
37,21
38,29
39,34
40,52
41,79
42,107
43,148
44,197
45,233
46,366
47,463
48,631
49,827
50,1016
51,1266
52,1441
53,1809
54,2158
55,2503
56,2978
57,3405
58,4032
59,4825
60,5476
61,6077
62,6820
63,7503
64,8215
65,9134
66,10023
67,10779
68,11591
69,12428
70,13155
71,13915
72,14681
73,15362
74,15887
75,16523
76,17127
77,17669
78,18279
79,18849
80,19468
81,19899
82,20465
83,21067
84,21645
85,22170
86,22745
87,23227
88,23660
89,24114
90,24648
91,25085
92,25549
93,25969
94,26384
95,26644
96,26977
97,27359
98,27682
99,27967
100,28236
101,28710
102,28884
103,29079
104,29315
105,29684
106,29958
107,30201
108,30395
109,30560
110,30739
111,30911
112,31106
113,31368
114,31610
115,31763
116,31908
117,32007
118,32169
119,32330
120,32486
121,32616
122,32735
123,32785
124,32877
125,32955
126,33072
127,33142
128,33229
129,33340
130,33415
131,33475
132,33530
133,33601
134,33689
135,33774
136,33846
137,33899
138,33964
139,34043
